strategy,scenario,geotype,area_km2,cost,RAN.macro,RAN.small.cells,backhaul.macro,civil.works.macro,civil.works.small
Hybrid,Scenario 1 (30 Mbps),Rural 1,3129,217905649.2,60436781.34,22373478.18,3409691.472,15343611.62,116342086.5
Small Cells,Scenario 1 (30 Mbps),Rural 1,3129,138715564.7,0,22373478.18,0,0,116342086.5
Spectrum Integration,Scenario 1 (30 Mbps),Rural 1,3129,79190084.44,60436781.34,0,3409691.472,15343611.62,0
Hybrid,Scenario 2 (100 Mbps),Rural 1,3129,217905649.2,60436781.34,22373478.18,3409691.472,15343611.62,116342086.5
Small Cells,Scenario 2 (100 Mbps),Rural 1,3129,138715564.7,0,22373478.18,0,0,116342086.5
Spectrum Integration,Scenario 2 (100 Mbps),Rural 1,3129,79190084.44,60436781.34,0,3409691.472,15343611.62,0
Hybrid,Scenario 3 (300 Mbps),Rural 1,3129,315525854.3,60436781.34,38118672.55,3409691.472,15343611.62,198217097.3
Small Cells,Scenario 3 (300 Mbps),Rural 1,3129,238981845.4,0,38545458.94,0,0,200436386.5
Spectrum Integration,Scenario 3 (300 Mbps),Rural 1,3129,79190084.44,60436781.34,0,3409691.472,15343611.62,0
Hybrid,Scenario 1 (30 Mbps),Rural 2,3480.7,196327435.4,34836023.97,23669549,5896083.042,8844124.563,123081654.8
Small Cells,Scenario 1 (30 Mbps),Rural 2,3480.7,146751203.8,0,23669549,0,0,123081654.8
Spectrum Integration,Scenario 1 (30 Mbps),Rural 2,3480.7,49576231.58,34836023.97,0,5896083.042,8844124.563,0
Hybrid,Scenario 2 (100 Mbps),Rural 2,3480.7,196327435.4,34836023.97,23669549,5896083.042,8844124.563,123081654.8
Small Cells,Scenario 2 (100 Mbps),Rural 2,3480.7,146751203.8,0,23669549,0,0,123081654.8
Spectrum Integration,Scenario 2 (100 Mbps),Rural 2,3480.7,49576231.58,34836023.97,0,5896083.042,8844124.563,0
Hybrid,Scenario 3 (300 Mbps),Rural 2,3480.7,196327435.4,34836023.97,23669549,5896083.042,8844124.563,123081654.8
Small Cells,Scenario 3 (300 Mbps),Rural 2,3480.7,146751203.8,0,23669549,0,0,123081654.8
Spectrum Integration,Scenario 3 (300 Mbps),Rural 2,3480.7,49576231.58,34836023.97,0,5896083.042,8844124.563,0
Hybrid,Scenario 1 (30 Mbps),Rural 3,6411.1,336402496.3,38007968.34,44496649.9,12865884.91,9649413.684,231382579.5
Small Cells,Scenario 1 (30 Mbps),Rural 3,6411.1,275879229.4,0,44496649.9,0,0,231382579.5
Spectrum Integration,Scenario 1 (30 Mbps),Rural 3,6411.1,60523266.94,38007968.34,0,12865884.91,9649413.684,0
Hybrid,Scenario 2 (100 Mbps),Rural 3,6411.1,336402496.3,38007968.34,44496649.9,12865884.91,9649413.684,231382579.5
Small Cells,Scenario 2 (100 Mbps),Rural 3,6411.1,275879229.4,0,44496649.9,0,0,231382579.5
Spectrum Integration,Scenario 2 (100 Mbps),Rural 3,6411.1,60523266.94,38007968.34,0,12865884.91,9649413.684,0
Hybrid,Scenario 3 (300 Mbps),Rural 3,6411.1,336402496.3,38007968.34,44496649.9,12865884.91,9649413.684,231382579.5
Small Cells,Scenario 3 (300 Mbps),Rural 3,6411.1,275879229.4,0,44496649.9,0,0,231382579.5
Spectrum Integration,Scenario 3 (300 Mbps),Rural 3,6411.1,60523266.94,38007968.34,0,12865884.91,9649413.684,0
Hybrid,Scenario 1 (30 Mbps),Rural 4,19805,38107810.5,22723664.97,0,9615090.96,5769054.576,0
Small Cells,Scenario 1 (30 Mbps),Rural 4,19805,0,0,0,0,0,0
Spectrum Integration,Scenario 1 (30 Mbps),Rural 4,19805,38107810.5,22723664.97,0,9615090.96,5769054.576,0
Hybrid,Scenario 2 (100 Mbps),Rural 4,19805,776462626.3,105445261.8,96714496.95,44617177.08,26770306.25,502915384.1
Small Cells,Scenario 2 (100 Mbps),Rural 4,19805,599629881.1,0,96714496.95,0,0,502915384.1
Spectrum Integration,Scenario 2 (100 Mbps),Rural 4,19805,176832745.2,105445261.8,0,44617177.08,26770306.25,0
Hybrid,Scenario 3 (300 Mbps),Rural 4,19805,776462626.3,105445261.8,96714496.95,44617177.08,26770306.25,502915384.1
Small Cells,Scenario 3 (300 Mbps),Rural 4,19805,599629881.1,0,96714496.95,0,0,502915384.1
Spectrum Integration,Scenario 3 (300 Mbps),Rural 4,19805,176832745.2,105445261.8,0,44617177.08,26770306.25,0
Hybrid,Scenario 1 (30 Mbps),Suburban 1,634.8,76699191.21,37155919.8,4856479.796,0,9433096.704,25253694.94
Small Cells,Scenario 1 (30 Mbps),Suburban 1,634.8,30110174.74,0,4856479.796,0,0,25253694.94
Spectrum Integration,Scenario 1 (30 Mbps),Suburban 1,634.8,46589016.5,37155919.8,0,0,9433096.704,0
Hybrid,Scenario 2 (100 Mbps),Suburban 1,634.8,115686518.3,37155919.8,11144758.36,0,9433096.704,57952743.49
Small Cells,Scenario 2 (100 Mbps),Suburban 1,634.8,72541385.89,0,11700223.53,0,0,60841162.36
Spectrum Integration,Scenario 2 (100 Mbps),Suburban 1,634.8,46589016.5,37155919.8,0,0,9433096.704,0
Hybrid,Scenario 3 (300 Mbps),Suburban 1,634.8,279180502.7,37155919.8,37514755.84,0,9433096.704,195076730.4
Small Cells,Scenario 3 (300 Mbps),Suburban 1,634.8,236035370.2,0,38070221,0,0,197965149.2
