strategy,scenario,municipalities,capacity_margin
Hybrid,Scenario 1 (30 Mbps),'s-Gravenhage,52994.02444
Small Cells,Scenario 1 (30 Mbps),'s-Gravenhage,46891.61671
Spectrum Integration,Scenario 1 (30 Mbps),'s-Gravenhage,-44170.06831
Hybrid,Scenario 2 (100 Mbps),'s-Gravenhage,14537.31993
Small Cells,Scenario 2 (100 Mbps),'s-Gravenhage,14148.52628
Spectrum Integration,Scenario 2 (100 Mbps),'s-Gravenhage,-242632.7075
Hybrid,Scenario 3 (300 Mbps),'s-Gravenhage,5288.933665
Small Cells,Scenario 3 (300 Mbps),'s-Gravenhage,5246.240365
Spectrum Integration,Scenario 3 (300 Mbps),'s-Gravenhage,-809790.8003
Hybrid,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",223.1406385
Small Cells,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",175.7379346
Spectrum Integration,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-1447.986264
Hybrid,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",0
Small Cells,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-1.09E-12
Spectrum Integration,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-7636.592184
Hybrid,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-4.19E-12
Small Cells,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",0
Spectrum Integration,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-25318.32338
Hybrid,Scenario 1 (30 Mbps),'s-Hertogenbosch,104880.0969
Small Cells,Scenario 1 (30 Mbps),'s-Hertogenbosch,100949.8593
Spectrum Integration,Scenario 1 (30 Mbps),'s-Hertogenbosch,-14128.01178
Hybrid,Scenario 2 (100 Mbps),'s-Hertogenbosch,80111.02874
Small Cells,Scenario 2 (100 Mbps),'s-Hertogenbosch,78925.4358
Spectrum Integration,Scenario 2 (100 Mbps),'s-Hertogenbosch,-81656.49894
Hybrid,Scenario 3 (300 Mbps),'s-Hertogenbosch,44220.52088
Small Cells,Scenario 3 (300 Mbps),'s-Hertogenbosch,43708.91284
Spectrum Integration,Scenario 3 (300 Mbps),'s-Hertogenbosch,-275056.1213
Hybrid,Scenario 1 (30 Mbps),Aa en Hunze,-2054.29509
Small Cells,Scenario 1 (30 Mbps),Aa en Hunze,-2958.76827
Spectrum Integration,Scenario 1 (30 Mbps),Aa en Hunze,-2054.29509
Hybrid,Scenario 2 (100 Mbps),Aa en Hunze,-14772.27897
Small Cells,Scenario 2 (100 Mbps),Aa en Hunze,-15676.75215
Spectrum Integration,Scenario 2 (100 Mbps),Aa en Hunze,-14772.27897
Hybrid,Scenario 3 (300 Mbps),Aa en Hunze,-51109.37577
Small Cells,Scenario 3 (300 Mbps),Aa en Hunze,-52013.84895
Spectrum Integration,Scenario 3 (300 Mbps),Aa en Hunze,-51109.37577
Hybrid,Scenario 1 (30 Mbps),Aalburg,30284.43337
Small Cells,Scenario 1 (30 Mbps),Aalburg,29944.02545
Spectrum Integration,Scenario 1 (30 Mbps),Aalburg,-1347.611568
Hybrid,Scenario 2 (100 Mbps),Aalburg,54994.7009
Small Cells,Scenario 2 (100 Mbps),Aalburg,54425.4569
Spectrum Integration,Scenario 2 (100 Mbps),Aalburg,-8627.4876
Hybrid,Scenario 3 (300 Mbps),Aalburg,36397.34706
Small Cells,Scenario 3 (300 Mbps),Aalburg,35905.52025
Spectrum Integration,Scenario 3 (300 Mbps),Aalburg,-30080.9508
Hybrid,Scenario 1 (30 Mbps),Aalsmeer,35066.97275
