strategy,scenario,municipalities,capacity_margin,iso_code,id
Hybrid,Scenario 1 (30 Mbps),'s-Gravenhage,52994.02444,NLD,'s-Gravenhage
Small Cells,Scenario 1 (30 Mbps),'s-Gravenhage,46891.61671,NLD,'s-Gravenhage
Spectrum Integration,Scenario 1 (30 Mbps),'s-Gravenhage,-44170.06831,NLD,'s-Gravenhage
Hybrid,Scenario 2 (100 Mbps),'s-Gravenhage,14537.31993,NLD,'s-Gravenhage
Small Cells,Scenario 2 (100 Mbps),'s-Gravenhage,14148.52628,NLD,'s-Gravenhage
Spectrum Integration,Scenario 2 (100 Mbps),'s-Gravenhage,-242632.7075,NLD,'s-Gravenhage
Hybrid,Scenario 3 (300 Mbps),'s-Gravenhage,5288.933665,NLD,'s-Gravenhage
Small Cells,Scenario 3 (300 Mbps),'s-Gravenhage,5246.240365,NLD,'s-Gravenhage
Spectrum Integration,Scenario 3 (300 Mbps),'s-Gravenhage,-809790.8003,NLD,'s-Gravenhage
Hybrid,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",223.1406385,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Small Cells,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",175.7379346,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Spectrum Integration,Scenario 1 (30 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-1447.986264,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Hybrid,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",0.0,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Small Cells,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-1.09e-12,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Spectrum Integration,Scenario 2 (100 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-7636.592184,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Hybrid,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-4.19e-12,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Small Cells,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",0.0,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Spectrum Integration,Scenario 3 (300 Mbps),"'s-Gravenhage,Leidschendam-Voorburg",-25318.32338,NLD,"'s-Gravenhage,Leidschendam-Voorburg"
Hybrid,Scenario 1 (30 Mbps),'s-Hertogenbosch,104880.0969,NLD,'s-Hertogenbosch
Small Cells,Scenario 1 (30 Mbps),'s-Hertogenbosch,100949.8593,NLD,'s-Hertogenbosch
Spectrum Integration,Scenario 1 (30 Mbps),'s-Hertogenbosch,-14128.01178,NLD,'s-Hertogenbosch
Hybrid,Scenario 2 (100 Mbps),'s-Hertogenbosch,80111.02874,NLD,'s-Hertogenbosch
Small Cells,Scenario 2 (100 Mbps),'s-Hertogenbosch,78925.4358,NLD,'s-Hertogenbosch
Spectrum Integration,Scenario 2 (100 Mbps),'s-Hertogenbosch,-81656.49894,NLD,'s-Hertogenbosch
Hybrid,Scenario 3 (300 Mbps),'s-Hertogenbosch,44220.52088,NLD,'s-Hertogenbosch
Small Cells,Scenario 3 (300 Mbps),'s-Hertogenbosch,43708.91284,NLD,'s-Hertogenbosch
Spectrum Integration,Scenario 3 (300 Mbps),'s-Hertogenbosch,-275056.1213,NLD,'s-Hertogenbosch
Hybrid,Scenario 1 (30 Mbps),Aa en Hunze,-2054.29509,NLD,Aa en Hunze
Small Cells,Scenario 1 (30 Mbps),Aa en Hunze,-2958.76827,NLD,Aa en Hunze
Spectrum Integration,Scenario 1 (30 Mbps),Aa en Hunze,-2054.29509,NLD,Aa en Hunze
Hybrid,Scenario 2 (100 Mbps),Aa en Hunze,-14772.27897,NLD,Aa en Hunze
Small Cells,Scenario 2 (100 Mbps),Aa en Hunze,-15676.75215,NLD,Aa en Hunze
Spectrum Integration,Scenario 2 (100 Mbps),Aa en Hunze,-14772.27897,NLD,Aa en Hunze
Hybrid,Scenario 3 (300 Mbps),Aa en Hunze,-51109.37577,NLD,Aa en Hunze
Small Cells,Scenario 3 (300 Mbps),Aa en Hunze,-52013.84895,NLD,Aa en Hunze
Spectrum Integration,Scenario 3 (300 Mbps),Aa en Hunze,-51109.37577,NLD,Aa en Hunze
Hybrid,Scenario 1 (30 Mbps),Aalburg,30284.43337,NLD,Aalburg
Small Cells,Scenario 1 (30 Mbps),Aalburg,29944.02545,NLD,Aalburg
Spectrum Integration,Scenario 1 (30 Mbps),Aalburg,-1347.611568,NLD,Aalburg
Hybrid,Scenario 2 (100 Mbps),Aalburg,54994.7009,NLD,Aalburg
Small Cells,Scenario 2 (100 Mbps),Aalburg,54425.4569,NLD,Aalburg
Spectrum Integration,Scenario 2 (100 Mbps),Aalburg,-8627.4876,NLD,Aalburg
Hybrid,Scenario 3 (300 Mbps),Aalburg,36397.34706,NLD,Aalburg
Small Cells,Scenario 3 (300 Mbps),Aalburg,35905.52025,NLD,Aalburg
Spectrum Integration,Scenario 3 (300 Mbps),Aalburg,-30080.9508,NLD,Aalburg
Hybrid,Scenario 1 (30 Mbps),Aalsmeer,35066.97275,NLD,Aalsmeer
Small Cells,Scenario 1 (30 Mbps),Aalsmeer,34317.84764,NLD,Aalsmeer
Spectrum Integration,Scenario 1 (30 Mbps),Aalsmeer,-4204.509456,NLD,Aalsmeer
Hybrid,Scenario 2 (100 Mbps),Aalsmeer,18810.37211,NLD,Aalsmeer
Small Cells,Scenario 2 (100 Mbps),Aalsmeer,18061.24701,NLD,Aalsmeer
Spectrum Integration,Scenario 2 (100 Mbps),Aalsmeer,-20461.1101,NLD,Aalsmeer
Hybrid,Scenario 3 (300 Mbps),Aalsmeer,0.0,NLD,Aalsmeer
Small Cells,Scenario 3 (300 Mbps),Aalsmeer,0.0,NLD,Aalsmeer
Spectrum Integration,Scenario 3 (300 Mbps),Aalsmeer,-66908.5405,NLD,Aalsmeer
Hybrid,Scenario 1 (30 Mbps),Aalten,42955.18614,NLD,Aalten
Small Cells,Scenario 1 (30 Mbps),Aalten,42575.94311,NLD,Aalten
Spectrum Integration,Scenario 1 (30 Mbps),Aalten,-1090.944357,NLD,Aalten
Hybrid,Scenario 2 (100 Mbps),Aalten,107554.2178,NLD,Aalten
Small Cells,Scenario 2 (100 Mbps),Aalten,106684.2706,NLD,Aalten
Spectrum Integration,Scenario 2 (100 Mbps),Aalten,-9653.263125,NLD,Aalten
Hybrid,Scenario 3 (300 Mbps),Aalten,87708.92512,NLD,Aalten
Small Cells,Scenario 3 (300 Mbps),Aalten,86966.48863,NLD,Aalten
Spectrum Integration,Scenario 3 (300 Mbps),Aalten,-35610.07673,NLD,Aalten
Hybrid,Scenario 1 (30 Mbps),Achtkarspelen,-3408.54615,NLD,Achtkarspelen
Small Cells,Scenario 1 (30 Mbps),Achtkarspelen,-3986.88417,NLD,Achtkarspelen
Spectrum Integration,Scenario 1 (30 Mbps),Achtkarspelen,-3408.54615,NLD,Achtkarspelen
Hybrid,Scenario 2 (100 Mbps),Achtkarspelen,-16428.98463,NLD,Achtkarspelen
Small Cells,Scenario 2 (100 Mbps),Achtkarspelen,-17007.32265,NLD,Achtkarspelen
Spectrum Integration,Scenario 2 (100 Mbps),Achtkarspelen,-16428.98463,NLD,Achtkarspelen
Hybrid,Scenario 3 (300 Mbps),Achtkarspelen,-53630.23743,NLD,Achtkarspelen
Small Cells,Scenario 3 (300 Mbps),Achtkarspelen,-54208.57545,NLD,Achtkarspelen
Spectrum Integration,Scenario 3 (300 Mbps),Achtkarspelen,-53630.23743,NLD,Achtkarspelen
